customer_id,first_name,last_name,customer_email,total_spent
5806,Hannie,Braddon,lbrimicombegy@ask.com,4005.98
5100,Mercy,Antonomoli,jolesenlm@live.com,3784.44
1027,Genni,Schultze,bfedderc1@techcrunch.com,3751.09
4276,Herschel,Chaff,hblackbourn7g@usatoday.com,3682.52
3971,Ramsay,Karran,ghargessm2@g.co,3645.94
9233,Ariadne,Silverman,tmussettini2b@jugem.jp,3616.93
8399,Beckie,Dunkerton,sberggren21@scientificamerican.com,3571.10
8146,Consuelo,Poge,rmealandla@wsj.com,3548.86
7755,Paige,Pacher,qtemplemanb9@engadget.com,3546.42
9797,Bink,Shelford,wrutledgero@blogs.com,3537.04
